equalweight; learn L
Casting to tensor
torch.Size([1000, 35986, 2])
torch.Size([1000, 35986])
Lx, Ly =  1 0.5
In GeoKNO_train, ndims =  2
Epoch :  0  Rel. Train L2 Loss :  0.3691080017089844  Rel. Test L2 Loss :  0.2725172319412231  L adjust: ['1.007903', '1.002183']  time :  98.13226461410522
Epoch :  1  Rel. Train L2 Loss :  0.25114786672592165  Rel. Test L2 Loss :  0.23264596462249756  L adjust: ['1.001903', '0.998472']  time :  96.99826955795288
Epoch :  2  Rel. Train L2 Loss :  0.22324439001083374  Rel. Test L2 Loss :  0.2102824273109436  L adjust: ['1.004164', '0.998162']  time :  96.7413682937622
Epoch :  3  Rel. Train L2 Loss :  0.19430658650398255  Rel. Test L2 Loss :  0.1716069107055664  L adjust: ['1.005749', '0.997439']  time :  96.92046809196472
Epoch :  4  Rel. Train L2 Loss :  0.1630631892681122  Rel. Test L2 Loss :  0.15284296798706054  L adjust: ['1.005852', '0.996427']  time :  97.32081055641174
Epoch :  5  Rel. Train L2 Loss :  0.14614518189430237  Rel. Test L2 Loss :  0.13946137475967407  L adjust: ['1.002835', '1.001294']  time :  97.05962347984314
Epoch :  6  Rel. Train L2 Loss :  0.13335985350608826  Rel. Test L2 Loss :  0.12790110540390015  L adjust: ['1.004194', '0.999289']  time :  97.14678359031677
Epoch :  7  Rel. Train L2 Loss :  0.12254538774490356  Rel. Test L2 Loss :  0.11947711420059204  L adjust: ['1.004504', '1.000162']  time :  97.3642840385437
Epoch :  8  Rel. Train L2 Loss :  0.11242965972423553  Rel. Test L2 Loss :  0.11293437767028809  L adjust: ['1.004271', '0.999813']  time :  97.23986887931824
Epoch :  9  Rel. Train L2 Loss :  0.10306297266483307  Rel. Test L2 Loss :  0.10660773181915283  L adjust: ['1.004079', '1.000326']  time :  97.03305649757385
Epoch :  10  Rel. Train L2 Loss :  0.09535113847255706  Rel. Test L2 Loss :  0.10387591767311097  L adjust: ['1.004198', '1.000223']  time :  97.38252902030945
Epoch :  11  Rel. Train L2 Loss :  0.09158538722991943  Rel. Test L2 Loss :  0.10039947867393494  L adjust: ['1.004237', '1.000107']  time :  97.44066047668457
Epoch :  12  Rel. Train L2 Loss :  0.0847616947889328  Rel. Test L2 Loss :  0.09749465775489807  L adjust: ['1.004135', '1.000276']  time :  97.49212527275085
Epoch :  13  Rel. Train L2 Loss :  0.08071947479248047  Rel. Test L2 Loss :  0.09345018529891967  L adjust: ['1.004287', '1.000178']  time :  97.68697905540466
